10-09-2016/r-madrid-vs-osasuna,246.24,54.42748,284.0857143,62.795,off target,CR7
10-09-2016/r-madrid-vs-osasuna,220.8,34.378,249.2285714,104.2079,goal,CR7
21-09-2016/r-madrid-vs-villarreal,156.96,150.42196,249.2285714,116.89895,saved,CR7
21-09-2016/r-madrid-vs-villarreal,214.56,126.72712,257.9428571,20.17979,off  target,CR7
21-09-2016/r-madrid-vs-villarreal,283.68,63.54088,282.3428571,102.47123,saved,CR7
24-09-2016/las-palmas-vs-r-madrid,166.08,61.7182,270.1428571,124.51358,saved,CR7
24-09-2016/las-palmas-vs-r-madrid,247.68,182.62264,101.0857143,116.63177,off  target,CR7
02-10-2016/r-madrid-vs-eibar,141.6,50.78212,311.9714286,127.85333,saved,CR7
02-10-2016/r-madrid-vs-eibar,226.56,38.63092,257.9428571,40.48547,off  target,CR7
02-10-2016/r-madrid-vs-eibar,221.28,65.36356,176.0285714,125.31512,saved,CR7
02-10-2016/r-madrid-vs-eibar,243.36,85.41304,427,59.05448,off target,CR7
02-10-2016/r-madrid-vs-eibar,337.44,126.72712,55.77142857,36.87854,off target,CR7
15-10-2016/betis-vs-r-madrid,170.4,75.69208,134.2,40.48547,off target,CR7
15-10-2016/betis-vs-r-madrid,204.96,24.04948,203.9142857,40.48547,off target,CR7
15-10-2016/betis-vs-r-madrid,195.36,99.38692,184.7428571,128.78846,goal,CR7
15-10-2016/betis-vs-r-madrid,248.64,31.3402,292.8,40.48547,off target,CR7
15-10-2016/betis-vs-r-madrid,276,173.50924,413.0571429,27.52724,off target,CR7
15-10-2016/betis-vs-r-madrid,285.12,128.5498,247.4857143,124.51358,saved,CR7
15-10-2016/betis-vs-r-madrid,299.04,75.69208,427,23.78672,off target,CR7
23-10-2016/r-madrid-vs-athletic,159.36,36.20068,479.2857143,59.05448,off target,CR7
23-10-2016/r-madrid-vs-athletic,188.16,165.61096,130.7142857,127.71974,off target,CR7
23-10-2016/r-madrid-vs-athletic,218.4,59.89552,386.9142857,114.76151,off target,CR7
23-10-2016/r-madrid-vs-athletic,223.68,58.6804,310.2285714,29.3975,off target,CR7
23-10-2016/r-madrid-vs-athletic,216.96,166.82608,430.4857143,125.84948,off target,CR7
23-10-2016/r-madrid-vs-athletic,254.4,137.6632,386.9142857,105.41021,off target,CR7
23-10-2016/r-madrid-vs-athletic,242.4,50.78212,134.2,123.97922,off target,CR7
23-10-2016/r-madrid-vs-athletic,266.4,89.0584,221.3428571,127.85333,saved,CR7
23-10-2016/r-madrid-vs-athletic,280.8,22.2268,271.8857143,126.25025,saved,CR7
29-10-2016/alavs-vs-r-madrid,130.56,141.30856,322.4285714,123.71204,goal,CR7
29-10-2016/alavs-vs-r-madrid,174.72,154.67488,444.4285714,55.31396,off target,CR7
29-10-2016/alavs-vs-r-madrid,182.4,134.6254,388.6571429,122.10896,off target,CR7
29-10-2016/alavs-vs-r-madrid,187.68,56.25016,172.5428571,23.78672,off target,CR7
29-10-2016/alavs-vs-r-madrid,236.64,61.11064,198.6857143,121.17383,GOAL,CR7
29-10-2016/alavs-vs-r-madrid,240,73.8694,291.0571429,119.43716,SAVED,CR7
29-10-2016/alavs-vs-r-madrid,300.96,170.47144,48.8,127.71974,off target,CR7
29-10-2016/alavs-vs-r-madrid,240,73.8694,322.4285714,123.71204,GOAL,CR7
06-11-2016/r-madrid-vs-legans,292.8,155.28244,69.71428571,122.10896,off target,CR7
19-11-2016/atltico-vs-r-madrid,166.56,55.6426,233.5428571,126.25025,SAVED,CR7
19-11-2016/atltico-vs-r-madrid,240,73.8694,183,127.05179,goal,CR7
19-11-2016/atltico-vs-r-madrid,228.48,168.64876,275.3714286,125.31512,goal,CR7
19-11-2016/atltico-vs-r-madrid,258.24,47.13676,266.6571429,127.85333,SAVED,CR7
19-11-2016/atltico-vs-r-madrid,262.08,50.78212,268.4,127.85333,goal,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,148.8,98.1718,242.2571429,127.05179,SAVED,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,212.16,67.7938,108.0571429,111.02099,off target,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,225.6,30.73264,52.28571429,57.18422,off target,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,220.8,118.22128,242.2571429,125.31512,SAVED,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,240,73.8694,306.7428571,127.85333,goal,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,262.08,51.99724,219.6,120.2387,goal,CR7
26-11-2016/r-madrid-vs-sporting-de-gijn,309.6,130.37248,244,127.05179,SAVED,CR7
03-12-2016/barcelona-vs-r-madrid,128.16,67.7938,181.2571429,105.94457,saved,CR7
03-12-2016/barcelona-vs-r-madrid,161.28,50.78212,216.1142857,20.17979,off target,CR7
03-12-2016/barcelona-vs-r-madrid,252.96,63.54088,237.0285714,105.94457,saved,CR7
03-12-2016/barcelona-vs-r-madrid,286.56,70.8316,256.2,125.31512,saved,CR7
10-12-2016/r-madrid-vs-deportivo,,,,,,CR7 was out
07-01-2017/r-madrid-vs-granada,247.2,29.51752,264.9142857,102.47123,goal,CR7
07-01-2017/r-madrid-vs-granada,264.48,163.78828,362.5142857,122.10896,off target,CR7
07-01-2017/r-madrid-vs-granada,317.76,81.76768,444.4285714,111.02099,off target,CR7
07-01-2017/r-madrid-vs-granada,342.24,82.9828,242.2571429,123.71204,saved,CR7
,129.6,86.0206,324.1714286,127.85333,saved,CR7
,224.64,50.78212,465.3428571,127.71974,off target,CR7
,238.56,74.47696,165.5714286,128.78846,goal,CR7
,333.6,57.46528,254.4571429,127.85333,saved,CR7
