246.24,54.42748,284.0857143,62.795,1
220.8,34.378,249.2285714,104.2079,3
156.96,150.42196,249.2285714,116.89895,2
214.56,126.72712,257.9428571,20.17979,1
283.68,63.54088,282.3428571,102.47123,2
166.08,61.7182,270.1428571,124.51358,2
247.68,182.62264,101.0857143,116.63177,1
141.6,50.78212,311.9714286,127.85333,2
226.56,38.63092,257.9428571,40.48547,1
221.28,65.36356,176.0285714,125.31512,2
243.36,85.41304,427,59.05448,1
337.44,126.72712,55.77142857,36.87854,1
170.4,75.69208,134.2,40.48547,1
204.96,24.04948,203.9142857,40.48547,1
195.36,99.38692,184.7428571,128.78846,3
248.64,31.3402,292.8,40.48547,1
276,173.50924,413.0571429,27.52724,1
285.12,128.5498,247.4857143,124.51358,2
299.04,75.69208,427,23.78672,1
159.36,36.20068,479.2857143,59.05448,1
188.16,165.61096,130.7142857,127.71974,1
218.4,59.89552,386.9142857,114.76151,1
223.68,58.6804,310.2285714,29.3975,1
216.96,166.82608,430.4857143,125.84948,1
254.4,137.6632,386.9142857,105.41021,1
242.4,50.78212,134.2,123.97922,1
266.4,89.0584,221.3428571,127.85333,2
280.8,22.2268,271.8857143,126.25025,2
130.56,141.30856,322.4285714,123.71204,3
174.72,154.67488,444.4285714,55.31396,1
182.4,134.6254,388.6571429,122.10896,1
187.68,56.25016,172.5428571,23.78672,1
236.64,61.11064,198.6857143,121.17383,3
240,73.8694,291.0571429,119.43716,2
300.96,170.47144,48.8,127.71974,1
240,73.8694,322.4285714,123.71204,3
292.8,155.28244,69.71428571,122.10896,1
166.56,55.6426,233.5428571,126.25025,2
240,73.8694,183,127.05179,3
228.48,168.64876,275.3714286,125.31512,3
258.24,47.13676,266.6571429,127.85333,2
262.08,50.78212,268.4,127.85333,3
148.8,98.1718,242.2571429,127.05179,2
212.16,67.7938,108.0571429,111.02099,1
225.6,30.73264,52.28571429,57.18422,1
220.8,118.22128,242.2571429,125.31512,2
240,73.8694,306.7428571,127.85333,3
262.08,51.99724,219.6,120.2387,3
309.6,130.37248,244,127.05179,2
128.16,67.7938,181.2571429,105.94457,2
161.28,50.78212,216.1142857,20.17979,1
252.96,63.54088,237.0285714,105.94457,2
286.56,70.8316,256.2,125.31512,2
,,,,
247.2,29.51752,264.9142857,102.47123,3
264.48,163.78828,362.5142857,122.10896,1
317.76,81.76768,444.4285714,111.02099,1
342.24,82.9828,242.2571429,123.71204,2
129.6,86.0206,324.1714286,127.85333,2
224.64,50.78212,465.3428571,127.71974,1
238.56,74.47696,165.5714286,128.78846,3
333.6,57.46528,254.4571429,127.85333,2
165.6,26.47972,247.4857143,123.71204,2
160.32,69.61648,254.4571429,126.25025,2
226.56,102.42472,275.3714286,125.31512,2
302.88,67.7938,155.1142857,126.25025,4
279.36,149.20684,83.65714286,99.93302,1
308.16,83.59036,230.0571429,101.66969,3
329.28,52.6048,270.1428571,121.97537,3
146.4,66.57868,261.4285714,127.05179,2
229.92,152.24464,418.2857143,123.97922,1
257.28,130.37248,69.71428571,46.09625,1
260.16,47.13676,224.8285714,40.48547,1
231.36,62.93332,177.7714286,106.74611,3
256.32,42.88384,270.1428571,125.31512,2
128.64,126.11956,128.9714286,123.97922,1
228.48,68.40136,113.2857143,111.02099,1
196.32,145.56148,74.94285714,88.71146,1
240,73.8694,183,113.5592,3
192.96,73.8694,338.1142857,101.66969,4
261.6,94.52644,383.4285714,27.52724,1
101.28,144.34636,73.2,122.10896,1
249.12,74.47696,99.34285714,88.71146,1
254.4,39.23848,257.9428571,91.51685,3
240,73.8694,313.7142857,96.59327,3
246.24,45.92164,432.2285714,111.02099,1
253.44,51.99724,449.6571429,77.62349,1
,,,,
246.24,51.99724,289.3142857,121.97537,3
132.96,44.09896,176.0285714,127.85333,2
159.84,31.3402,81.91428571,40.48547,1
295.2,67.7938,362.5142857,98.06276,1
343.2,47.13676,357.2857143,99.93302,1
192.48,70.22404,282.3428571,127.85333,2
196.32,161.35804,259.6857143,36.87854,1
130.08,33.77044,69.71428571,75.75323,1
211.2,91.48864,10.45714286,125.84948,1
138.72,59.28796,212.6285714,127.85333,2
,,,,
136.8,81.16012,170.8,124.51358,2
324,67.7938,228.3142857,103.67354,2
232.8,50.17456,404.3428571,120.37229,1
,,,,
226.56,111.53812,266.6571429,120.37229,2
332.64,140.701,287.5714286,123.71204,2
159.84,80.55256,298.0285714,126.25025,2
331.2,48.35188,101.0857143,35.00828,1
278.88,113.96836,137.6857143,29.3975,1
208.32,56.25016,277.1142857,42.35573,1
,,,,
258.72,17.36632,289.3142857,53.57729,1
202.08,166.82608,322.4285714,51.70703,1
240,73.8694,306.7428571,123.97922,2
259.2,58.6804,214.3714286,116.09741,3
,,,,
72.96,80.552,301.51,101.8,2
204,83.59,172.54,81.36,3
266.4,36.808,266.657,121.94,3
232.8,49.56,121.9999,125.84,1
192.48,81.16,172.54,127.85,3
248.64,121.259,322.42,105.94,3
255.84,46.529,221.342,128.788,2
259.2,87.8432,242.2571,128.788,3
